ID,Nama Makanan,Kategori,Jumlah Sajian,Per Sajian,Energi,Energi dari lemak,Energi dari lemak jenuh,Karbohidrat total,Karbohidrat lain,Protein,Lemak total,Lemak jenuh,Lemak tidak jenuh ganda,Lemak tidak jenuh tunggal,Lemak trans,Kolesterol,Serat pangan,Serat pangan larut,Serat pangan tidak larut,Gula,Gula alkohol,Air,Abu,Vitamin A,B0Karoten,Vitamin B1,Vitamin B2,Vitamin B3,Vitamin B5,Vitamin B6,Vitamin B12,Folat,Biotin,Kolin,Vitamin C,Vitamin D,Vitamin E,Vitamin K,Kalsium,Fosfor,Magnesium,Natrium,Kalium,Besi,Seng,Tembaga,Mangan,Iodium,Selenium,Fluor,Kromium,L0Karnitin,Myo0Inositol,Asam linoleat,Asam a0linolenat
691,Choco Marie,Regal,1.0,keping (8 g),40.0,,,5.0,,1.0,2.0,2.0,0.0,0.0,,0.0,0.0,,,3.0,,,,,,,,,,,,,,,,,,,,,,20.0,0.0,,,,,,,,,,,,
692,Choco Master,Kaluli,1.0,bungkus (60 g),100.0,,,8.0,,1.0,7.0,6.0,,,,4.0,1.0,,,6.0,,,,,,,,,,,,,,,,,,,,,,10.0,,,,,,,,,,,,,
"693,Choco Mentho Orange Flavour Lozenges,FISHERMAN'S FRIEND,1.0,""lozenge (1,15 g)"",0.0,,,1.0,,0.0,0.0,0.0,,,,0.0,,,,0.0,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,"
694,Choco More,Julie's,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
695,Choco Nut Crunch Yoghurt,Yoseo,100.0,g,120.0,,,13.0,,3.0,6.0,4.0,,,,15.0,,,,12.0,,,,,,,,,,,,,,,,,,,,,,45.0,,,,,,,,,,,,,
696,Choco Pie,Delfi,1.0,sajian  (30 ml),130.0,,,19.0,,2.0,6.0,4.0,,,,,,,,9.0,,,,,,,,,,,,,,,,,,,,,,65.0,,,,,,,,,,,,,
697,Choco Pie,Yamazaki,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
698,Choco Roll,Paroti,1.0,porsi (60 g),210.0,,,33.0,,4.0,7.0,3.5,,,,,,,,12.0,,,,,,,,,,,,,,,,,,,,,,135.0,,,,,,,,,,,,,
699,Choco Sourdough Cracker,Namaste Organic,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
700,Choco Strawberry,Happy Time,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
