ID;Nama Makanan;Kategori;Jumlah Sajian;Per Sajian;Energi;Energi dari lemak;Energi dari lemak jenuh;Karbohidrat total;Karbohidrat lain;Protein;Lemak total;Lemak jenuh;Lemak tidak jenuh ganda;Lemak tidak jenuh tunggal;Lemak trans;Kolesterol;Serat pangan;Serat pangan larut;Serat pangan tidak larut;Gula;Gula alkohol;Air;Abu;Vitamin A;B0Karoten;Vitamin B1;Vitamin B2;Vitamin B3;Vitamin B5;Vitamin B6;Vitamin B12;Folat;Biotin;Kolin;Vitamin C;Vitamin D;Vitamin E;Vitamin K;Kalsium;Fosfor;Magnesium;Natrium;Kalium;Besi;Seng;Tembaga;Mangan;Iodium;Selenium;Fluor;Kromium;L0Karnitin;Myo0Inositol;Asam linoleat;Asam a0linolenat
2843;Daging semur;Buatan Sendiri;1;100 g;141 kkal;0;0;4.30 g;0;12.70 g;8 g;0;0;0;0;0;0.70 g;0;0;1.60 g;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;370 mg;0;0;0;0;0;0;0;0;0;0;0;0;0
1868;Dalgona coffe;Buatan Sendiri;1;0 g;306 kkal;0;0;52.77 g;0;9.25 g;7.05 g;0;0;0;0;0;0;0;0;33.86 g;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0 mg;0;0;0;0;0;0;0;0;0;0;0;0;0
2378;Deep Fried Chinese Bun;Buatan Sendiri;1;65 g;280 kkal;0;0;33 g;0;3.20 g;15 g;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;44 mg;0;0;0;0;0;0;0;0;0;0;0;0;0
2380;Deep Fried Meat Dumpling;Buatan Sendiri;1;50 g;170 kkal;0;0;21 g;0;2.40 g;7.80 g;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;88 mg;0;0;0;0;0;0;0;0;0;0;0;0;0
2383;Deep Fried Wonton;Buatan Sendiri;1;23 g;99 kkal;0;0;7.40 g;0;2.20 g;6.70 g;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;100 mg;0;0;0;0;0;0;0;0;0;0;0;0;0
2890;Dimsum ayam;Buatan Sendiri;1;10.00 g;160 kkal;0;0;22 g;0;7 g;5 g;0;0;0;0;0;3 g;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0 mg;0;0;0;0;0;0;0;0;0;0;0;0;0
2200;Donat;Buatan Sendiri;1;100 g;192 kkal;0;0;22.86 g;0;2.34 g;10.30 g;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;181 mg;0;0;0;0;0;0;0;0;0;0;0;0;0
2420;Ekstrak Vanili, Vanila;Buatan Sendiri;1;100 g;288 kkal;0;0;13 g;0;0.10 g;0.10 g;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;9 mg;0;0;0;0;0;0;0;0;0;0;0;0;0
1411;Es batu;Buatan Sendiri;1;100 g;0 kkal;0;0;0 g;0;0 g;0 g;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0 mg;0;0;0;0;0;0;0;0;0;0;0;0;0
1249;Es teh manis;Buatan Sendiri;1;240 ml;90 kkal;0;0;23.44 g;0;0.02 g;0 g;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0 mg;0;0;0;0;0;0;0;0;0;0;0;0;0
1247;Es teh tawar;Buatan Sendiri;1;240 ml;2 kkal;0;0;0.67 g;0;0.02 g;0 g;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0 mg;0;0;0;0;0;0;0;0;0;0;0;0;0
1363;Espresso;Buatan Sendiri;1;29.60 g;3 kkal;0;0;0.49 g;0;0.04 g;0.05 g;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0 mg;0;0;0;0;0;0;0;0;0;0;0;0;0
2195;gethuk;Buatan Sendiri;1;70 g;61 kkal;0;0;12.49 g;0;0.14 g;1.25 g;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;57 mg;0;0;0;0;0;0;0;0;0;0;0;0;0
2870;Getuk goreng keju;Buatan Sendiri;1;100 g;61 kkal;0;0;12.49 g;0;0.14 g;1.25 g;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;57 mg;0;0;0;0;0;0;0;0;0;0;0;0;0
2869;Getuk keju;Buatan Sendiri;1;100 g;61 kkal;0;0;12.49 g;0;0.14 g;1.25 g;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;57 mg;0;0;0;0;0;0;0;0;0;0;0;0;0
2388;Gingerbread (Kue Jahe);Buatan Sendiri;1;100 g;356 kkal;0;0;49 g;0;3.90 g;16 g;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;327 mg;0;0;0;0;0;0;0;0;0;0;0;0;0
1543;Ginjal kambing (mentah);Buatan Sendiri;1;100 g;97 kkal;0;0;0.82 g;0;15.74 g;2.95 g;0;0;0;0;0;0 g;0;0;0 g;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0 mg;0;0;0;0;0;0;0;0;0;0;0;0;0
2845;Gulai ayam paha;Buatan Sendiri;1;100 g;168 kkal;0;0;3.33 g;0;11.94 g;12.40 g;0;0;0;0;0;0.90 g;0;0;0.16 g;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;173 mg;232 mg;0;0;0;0;0;0;0;0;0;0;0;0
2375;Ha-Gau;Buatan Sendiri;1;31 g;50 kkal;0;0;5.60 g;0;2.10 g;2.10 g;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;120 mg;0;0;0;0;0;0;0;0;0;0;0;0;0
1542;Hati kambing (mentah);Buatan Sendiri;1;100 g;139 kkal;0;0;1.78 g;0;20.38 g;5.02 g;0;0;0;0;0;0 g;0;0;0 g;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0 mg;0;0;0;0;0;0;0;0;0;0;0;0;0
2248;Herba Penawar Alwahida Indonesia;Buatan Sendiri;1;23 g;104 kkal;0;0;18 g;0;1 g;3 g;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;27 mg;0;0;0;0;0;0;0;0;0;0;0;0;0
1545;Jantung kambing (mentah);Buatan Sendiri;1;100 g;122 kkal;0;0;0.21 g;0;16.47 g;5.68 g;0;0;0;0;0;0 g;0;0;0 g;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0 mg;0;0;0;0;0;0;0;0;0;0;0;0;0
2394;Jasuke, jagung susu keju;Buatan Sendiri;1;100 g;86 kkal;0;0;19.02 g;0;3.22 g;1.18 g;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0 mg;0;0;0;0;0;0;0;0;0;0;0;0;0
1271;Kecap asin;Buatan Sendiri;1;16 g;8 kkal;0;0;0.79 g;0;1.30 g;0.09 g;0;0;0;0;0;0.10 g;0;0;0.06 g;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0 mg;0;0;0;0;0;0;0;0;0;0;0;0;0
1268;Kecap manis;Buatan Sendiri;1;22 g;45 kkal;0;0;11 g;0;1 g;0.10 g;0;0;0;0;0;0;0;0;10 g;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0 mg;0;0;0;0;0;0;0;0;0;0;0;0;0
1242;Keju cheddar;Buatan Sendiri;1;100 g;404 kkal;0;0;3.09 g;0;22.87 g;33.31 g;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0 mg;0;0;0;0;0;0;0;0;0;0;0;0;0
1244;Keju mozzarella;Buatan Sendiri;1;100 g;280 kkal;0;0;3.10 g;0;27.50 g;17.10 g;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0 mg;0;0;0;0;0;0;0;0;0;0;0;0;0
1243;Keju parmesan;Buatan Sendiri;1;100 g;420 kkal;0;0;13.91 g;0;28.42 g;27.84 g;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0 mg;0;0;0;0;0;0;0;0;0;0;0;0;0
2162;Kelapa parut;Buatan Sendiri;1;80 g;283 kkal;0;0;10 g;0;3 g;27 g;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0 mg;0;0;0;0;0;0;0;0;0;0;0;0;0
2176;Kelapa parut;Buatan Sendiri;1;80 g;283 kkal;0;0;10 g;0;3 g;27 g;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0 mg;0;0;0;0;0;0;0;0;0;0;0;0;0
2321;Kentang Balado;Buatan Sendiri;1;100 gram;102 kkal;0;0;10.15 g;0;8.72 g;3.02 g;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;114 mg;0;0;0;0;0;0;0;0;0;0;0;0;0
2324;Kentang Balado;Buatan Sendiri;1;100 gram;102 kkal;0;0;10.15 g;0;8.72 g;3.02 g;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;114 mg;0;0;0;0;0;0;0;0;0;0;0;0;0
2351;Kentang Goreng;Buatan Sendiri;1;100 gram;274 kkal;0;0;35.66 g;0;3.48 g;14.06 g;0;0;0;0;0;3.30 g;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;300 mg;0;0;0;0;0;0;0;0;0;0;0;0;0
